district,municipality,id,name,detailedLevel,parentIds
aveiro,agueda,aveiro/agueda,Águeda,council,[]
aveiro,agueda,aveiro/agueda/aguada-de-cima,Aguada de Cima,parish,[]
aveiro,agueda,aveiro/agueda/agueda-e-borralha,Águeda e Borralha,parish,[]
aveiro,agueda,aveiro/agueda/barro-e-aguada-de-baixo,Barrô e Aguada de Baixo,parish,[]
aveiro,agueda,aveiro/agueda/belazaima-do-chao-castanheira-do-vouga-e-agadao,"Belazaima do Chão, Castanheira do Vouga e Agadão",parish,[]
aveiro,agueda,aveiro/agueda/fermentelos,Fermentelos,parish,[]
aveiro,agueda,aveiro/agueda/macinhata-do-vouga,Macinhata do Vouga,parish,[]
aveiro,agueda,aveiro/agueda/prestimo-e-macieira-de-alcoba,Préstimo e Macieira de Alcoba,parish,[]
aveiro,agueda,aveiro/agueda/recardaes-e-espinhel,Recardães e Espinhel,parish,[]
aveiro,agueda,aveiro/agueda/travasso-e-ois-da-ribeira,Travassô e Óis da Ribeira,parish,[]
aveiro,agueda,aveiro/agueda/trofa-segadaes-e-lamas-do-vouga,"Trofa, Segadães e Lamas do Vouga",parish,[]
aveiro,agueda,aveiro/agueda/valongo-do-vouga,Valongo do Vouga,parish,[]
aveiro,albergaria-a-velha,aveiro/albergaria-a-velha,Albergaria-a-Velha,council,[]
aveiro,albergaria-a-velha,aveiro/albergaria-a-velha/albergaria-a-velha-e-valmaior,Albergaria-a-Velha e Valmaior,parish,[]
aveiro,albergaria-a-velha,aveiro/albergaria-a-velha/alquerubim,Alquerubim,parish,[]
aveiro,albergaria-a-velha,aveiro/albergaria-a-velha/angeja,Angeja,parish,[]
aveiro,albergaria-a-velha,aveiro/albergaria-a-velha/branca,Branca,parish,[]
aveiro,albergaria-a-velha,aveiro/albergaria-a-velha/ribeira-de-fraguas,Ribeira de Fráguas,parish,[]
aveiro,albergaria-a-velha,aveiro/albergaria-a-velha/sao-joao-de-loure-e-frossos,São João de Loure e Frossos,parish,[]
aveiro,anadia,aveiro/anadia,Anadia,council,[]
